hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,has_agent,has_company,arrival_date,total_nights,total_guests,is_family,adr_per_person,lead_time_group,cancel_history_ratio,season,arrival_weekday,is_domestic
Resort Hotel,1,23,2015,7,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,123.0,0,0,1,0,2015-07-01,4,2,0,61.5,8-30,0.0,Summer,2,1
Resort Hotel,0,35,2015,7,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,145.0,0,0,1,0,2015-07-01,4,2,0,72.5,31-90,0.0,Summer,2,1
Resort Hotel,0,68,2015,7,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,97.0,0,3,1,0,2015-07-01,4,2,0,48.5,31-90,0.0,Summer,2,0
Resort Hotel,0,18,2015,7,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,G,1,No Deposit,241,0,Transient,154.77,0,1,1,0,2015-07-01,4,3,1,51.59,8-30,0.0,Summer,2,0
Resort Hotel,0,37,2015,7,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,241,0,Transient,94.71,0,0,1,0,2015-07-01,4,2,0,47.355,31-90,0.0,Summer,2,1
Resort Hotel,0,68,2015,7,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,97.0,0,3,1,0,2015-07-01,4,2,0,48.5,31-90,0.0,Summer,2,0
Resort Hotel,0,37,2015,7,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,8,0,Contract,97.5,0,0,1,0,2015-07-01,4,2,0,48.75,31-90,0.0,Summer,2,1
Resort Hotel,0,12,2015,7,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,88.2,0,0,1,0,2015-07-01,1,2,0,44.1,8-30,0.0,Summer,2,0
Resort Hotel,0,0,2015,7,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,0,No Deposit,NoAgent,0,Transient,107.42,0,0,0,1,2015-07-01,1,2,0,53.71,0-7,0.0,Summer,2,0
Resort Hotel,0,7,2015,7,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,0,0,0,G,0,No Deposit,250,0,Transient,153.0,0,1,1,0,2015-07-01,4,2,0,76.5,0-7,0.0,Summer,2,0
Resort Hotel,0,37,2015,7,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,0,No Deposit,241,0,Transient,97.29,0,1,1,0,2015-07-01,5,1,0,97.29,31-90,0.0,Summer,2,0
Resort Hotel,0,72,2015,7,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,250,0,Transient,84.67,0,1,1,0,2015-07-01,6,2,0,42.335,31-90,0.0,Summer,2,1
Resort Hotel,0,72,2015,7,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,1,No Deposit,250,0,Transient,84.67,0,1,1,0,2015-07-01,6,2,0,42.335,31-90,0.0,Summer,2,1
Resort Hotel,0,72,2015,7,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,1,No Deposit,250,0,Transient,99.67,0,1,1,0,2015-07-01,6,2,0,49.835,31-90,0.0,Summer,2,1
Resort Hotel,0,127,2015,7,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,115,0,Contract,94.95,0,1,1,0,2015-07-01,7,2,0,47.475,91-180,0.0,Summer,2,0
Resort Hotel,0,78,2015,7,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,5,0,Transient,63.6,1,0,1,0,2015-07-01,7,2,0,31.8,31-90,0.0,Summer,2,1
Resort Hotel,0,48,2015,7,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,8,0,Contract,79.5,0,0,1,0,2015-07-01,7,2,0,39.75,31-90,0.0,Summer,2,0
Resort Hotel,1,60,2015,7,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,107.0,0,2,1,0,2015-07-01,7,2,0,53.5,31-90,0.0,Summer,2,1
Resort Hotel,0,77,2015,7,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,94.0,0,0,1,0,2015-07-01,7,2,0,47.0,31-90,0.0,Summer,2,1
Resort Hotel,0,99,2015,7,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,87.3,1,1,1,0,2015-07-01,7,2,0,43.65,91-180,0.0,Summer,2,1
Resort Hotel,0,118,2015,7,27,1,4,10,1,0,0,BB,Unknown,Direct,Direct,0,0,0,A,2,No Deposit,NoAgent,0,Transient,62.0,0,2,0,0,2015-07-01,14,1,0,62.0,91-180,0.0,Summer,2,0
Resort Hotel,0,95,2015,7,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,241,0,Transient,63.86,0,0,1,0,2015-07-01,15,2,0,31.93,91-180,0.0,Summer,2,0
Resort Hotel,1,96,2015,7,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,0,0,0,E,0,No Deposit,NoAgent,0,Transient,108.3,0,2,0,0,2015-07-01,10,2,0,54.15,91-180,0.0,Summer,2,1
Resort Hotel,0,69,2015,7,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,175,0,Transient,65.5,0,0,1,0,2015-07-02,6,2,0,32.75,31-90,0.0,Summer,3,0
Resort Hotel,1,45,2015,7,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,241,0,Transient,108.8,0,1,1,0,2015-07-02,4,3,0,36.2667,31-90,0.0,Summer,3,1
Resort Hotel,1,40,2015,7,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,241,0,Transient,108.8,0,1,1,0,2015-07-02,4,3,0,36.2667,31-90,0.0,Summer,3,1
Resort Hotel,0,15,2015,7,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,98.0,0,0,1,0,2015-07-02,4,2,0,49.0,8-30,0.0,Summer,3,0
Resort Hotel,0,36,2015,7,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,241,0,Transient,108.8,0,1,1,0,2015-07-02,4,3,0,36.2667,31-90,0.0,Summer,3,1
Resort Hotel,1,43,2015,7,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,241,0,Transient,108.8,0,0,1,0,2015-07-02,4,3,0,36.2667,31-90,0.0,Summer,3,1
Resort Hotel,0,70,2015,7,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,0,No Deposit,250,0,Transient,137.0,0,1,1,0,2015-07-02,5,2,0,68.5,31-90,0.0,Summer,3,0
Resort Hotel,1,45,2015,7,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,241,0,Transient,117.81,0,0,1,0,2015-07-02,5,2,0,58.905,31-90,0.0,Summer,3,1
Resort Hotel,0,45,2015,7,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,8,0,Contract,79.5,0,0,1,0,2015-07-02,5,2,0,39.75,31-90,0.0,Summer,3,0
Resort Hotel,0,16,2015,7,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,No Deposit,NoAgent,0,Transient,123.0,0,0,0,0,2015-07-02,5,2,0,61.5,8-30,0.0,Summer,3,0
Resort Hotel,0,70,2015,7,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,0,0,0,E,0,No Deposit,250,0,Transient,137.0,0,1,1,0,2015-07-02,5,2,0,68.5,31-90,0.0,Summer,3,0
Resort Hotel,0,107,2015,7,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,110.7,0,2,1,0,2015-07-02,7,2,0,55.35,91-180,0.0,Summer,3,1
Resort Hotel,1,47,2015,7,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,240,0,Transient,153.0,0,0,1,0,2015-07-02,7,4,1,38.25,31-90,0.0,Summer,3,1
Resort Hotel,0,96,2015,7,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,134,0,Transient,58.95,0,1,1,0,2015-07-02,7,2,0,29.475,91-180,0.0,Summer,3,0
Resort Hotel,0,113,2015,7,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,156,0,Transient-Party,82.88,0,2,1,0,2015-07-02,7,2,0,41.44,91-180,0.0,Summer,3,0
Resort Hotel,0,90,2015,7,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,243,0,Contract,82.35,0,0,1,0,2015-07-02,7,2,0,41.175,31-90,0.0,Summer,3,0
Resort Hotel,0,50,2015,7,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,E,1,No Deposit,241,0,Transient,119.35,0,1,1,0,2015-07-02,7,2,0,59.675,31-90,0.0,Summer,3,0
Resort Hotel,0,113,2015,7,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,156,0,Transient-Party,67.58,0,2,1,0,2015-07-02,7,2,0,33.79,91-180,0.0,Summer,3,0
Resort Hotel,0,93,2015,7,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,156,0,Contract,56.01,0,0,1,0,2015-07-02,11,2,0,28.005,91-180,0.0,Summer,3,0
Resort Hotel,0,76,2015,7,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,243,0,Contract,110.7,0,0,1,0,2015-07-02,14,2,0,55.35,31-90,0.0,Summer,3,0
Resort Hotel,0,3,2015,7,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,88.2,1,0,1,0,2015-07-02,1,2,0,44.1,0-7,0.0,Summer,3,0
Resort Hotel,0,1,2015,7,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,0,0,0,H,0,No Deposit,240,0,Transient,147.0,1,0,1,0,2015-07-02,1,2,0,73.5,0-7,0.0,Summer,3,0
Resort Hotel,0,1,2015,7,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,0,0,0,C,0,No Deposit,NoAgent,0,Transient,107.0,1,2,0,0,2015-07-02,1,4,1,26.75,0-7,0.0,Summer,3,0
Resort Hotel,0,0,2015,7,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,H,0,No Deposit,NoAgent,0,Transient,147.0,0,0,0,0,2015-07-02,1,2,0,73.5,0-7,0.0,Summer,3,1
Resort Hotel,0,0,2015,7,27,2,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,117.9,0,2,1,0,2015-07-02,1,2,0,58.95,0-7,0.0,Summer,3,1
Resort Hotel,0,0,2015,7,27,2,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,0,No Deposit,NoAgent,0,Transient,123.0,0,0,0,0,2015-07-02,1,2,0,61.5,0-7,0.0,Summer,3,1
Resort Hotel,0,14,2015,7,27,2,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,242,0,Transient,98.0,0,1,1,0,2015-07-02,2,2,0,49.0,8-30,0.0,Summer,3,0
Resort Hotel,0,10,2015,7,27,2,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,0,No Deposit,241,0,Transient,117.81,0,0,1,0,2015-07-02,2,2,0,58.905,8-30,0.0,Summer,3,1
Resort Hotel,0,5,2015,7,27,2,0,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,135.0,1,2,1,0,2015-07-02,2,2,0,67.5,0-7,0.0,Summer,3,0
Resort Hotel,0,17,2015,7,27,2,0,3,2,0,0,BB,ESP,Direct,Direct,0,0,0,F,0,No Deposit,250,0,Transient,133.0,0,1,1,0,2015-07-02,3,2,0,66.5,8-30,0.0,Summer,3,0
Resort Hotel,0,93,2015,7,27,2,0,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,115,0,Contract,58.95,0,0,1,0,2015-07-02,3,2,0,29.475,91-180,0.0,Summer,3,0
Resort Hotel,1,3,2015,7,27,2,0,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,136.33,0,2,1,0,2015-07-02,3,2,0,68.165,0-7,0.0,Summer,3,1
Resort Hotel,0,10,2015,7,27,3,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,0,No Deposit,240,0,Transient,153.0,1,0,1,0,2015-07-03,2,4,1,38.25,8-30,0.0,Summer,4,0
Resort Hotel,0,3,2015,7,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,110.5,0,0,1,0,2015-07-03,2,2,0,55.25,0-7,0.0,Summer,4,0
Resort Hotel,0,51,2015,7,27,3,0,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,0,No Deposit,242,0,Transient,97.0,0,0,1,0,2015-07-03,2,2,0,48.5,31-90,0.0,Summer,4,0
Resort Hotel,1,71,2015,7,27,3,0,2,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,242,0,Transient,110.3,0,2,1,0,2015-07-03,2,3,0,36.7667,31-90,0.0,Summer,4,1
Resort Hotel,1,63,2015,7,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,82.0,0,2,1,0,2015-07-03,2,2,0,41.0,31-90,0.0,Summer,4,1
Resort Hotel,1,62,2015,7,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,97.0,0,1,1,0,2015-07-03,2,2,0,48.5,31-90,0.0,Summer,4,1
Resort Hotel,1,101,2015,7,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,73.8,0,1,1,0,2015-07-03,2,2,0,36.9,91-180,0.0,Summer,4,1
Resort Hotel,0,2,2015,7,27,3,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,3,0,Transient,91.5,0,0,1,0,2015-07-03,2,2,0,45.75,0-7,0.0,Summer,4,1
Resort Hotel,0,15,2015,7,27,3,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,114.5,0,0,1,0,2015-07-03,2,2,0,57.25,8-30,0.0,Summer,4,0
Resort Hotel,1,51,2015,7,27,3,0,2,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,242,0,Transient,110.3,0,0,1,0,2015-07-03,2,3,0,36.7667,31-90,0.0,Summer,4,1
Resort Hotel,0,3,2015,7,27,3,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,90.9,1,0,1,0,2015-07-03,3,2,0,45.45,0-7,0.0,Summer,4,0
Resort Hotel,1,48,2015,7,27,3,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,123.0,0,0,1,0,2015-07-03,3,2,0,61.5,31-90,0.0,Summer,4,1
Resort Hotel,0,2,2015,7,27,3,2,2,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,122.0,0,0,1,0,2015-07-03,4,1,0,122.0,0-7,0.0,Summer,4,1
Resort Hotel,0,72,2015,7,27,3,2,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,105,0,Transient,110.7,1,0,1,0,2015-07-03,4,2,0,55.35,31-90,0.0,Summer,4,0
Resort Hotel,0,81,2015,7,27,3,2,6,3,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,5,0,Transient,85.86,0,0,1,0,2015-07-03,8,3,0,28.62,31-90,0.0,Summer,4,1
Resort Hotel,0,99,2015,7,27,3,2,7,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,40,0,Contract,58.95,0,0,1,0,2015-07-03,9,2,0,29.475,91-180,0.0,Summer,4,0
Resort Hotel,1,368,2015,7,27,3,3,7,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,40,0,Contract,55.68,0,0,1,0,2015-07-03,10,2,0,27.84,365+,0.0,Summer,4,1
Resort Hotel,0,364,2015,7,27,3,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,40,0,Contract,55.68,0,0,1,0,2015-07-03,10,2,0,27.84,181-365,0.0,Summer,4,0
Resort Hotel,1,81,2015,7,27,3,3,7,2,0,0,HB,PRT,Direct,Direct,0,0,0,A,2,No Deposit,250,0,Transient,124.0,0,1,1,0,2015-07-03,10,2,0,62.0,31-90,0.0,Summer,4,1
Resort Hotel,0,99,2015,7,27,3,3,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,115,0,Contract,111.15,0,0,1,0,2015-07-03,10,2,0,55.575,91-180,0.0,Summer,4,0
Resort Hotel,0,324,2015,7,27,3,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,40,0,Contract,134.73,0,0,1,0,2015-07-03,14,2,0,67.365,181-365,0.0,Summer,4,0
Resort Hotel,0,69,2015,7,27,3,4,10,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,1,No Deposit,241,0,Transient,92.45,0,1,1,0,2015-07-03,14,2,0,46.225,31-90,0.0,Summer,4,0
Resort Hotel,1,79,2015,7,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,242,0,Transient,108.73,0,2,1,0,2015-07-03,21,3,1,36.2433,31-90,0.0,Summer,4,1
Resort Hotel,0,12,2015,7,27,3,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,73.8,0,0,1,0,2015-07-03,1,2,0,36.9,8-30,0.0,Summer,4,0
Resort Hotel,0,9,2015,7,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,98.0,1,2,1,0,2015-07-03,1,2,0,49.0,8-30,0.0,Summer,4,1
Resort Hotel,0,1,2015,7,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,131.0,0,1,1,0,2015-07-03,1,2,0,65.5,0-7,0.0,Summer,4,0
Resort Hotel,0,21,2015,7,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,123.0,0,0,1,0,2015-07-03,1,2,0,61.5,8-30,0.0,Summer,4,1
Resort Hotel,0,9,2015,7,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,0,No Deposit,241,0,Transient,94.71,0,0,1,0,2015-07-03,1,2,0,47.355,8-30,0.0,Summer,4,0
Resort Hotel,0,109,2015,7,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,123.0,0,2,1,0,2015-07-03,1,2,0,61.5,91-180,0.0,Summer,4,0
Resort Hotel,1,109,2015,7,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,123.0,0,1,1,0,2015-07-03,2,2,0,61.5,91-180,0.0,Summer,4,1
Resort Hotel,1,72,2015,7,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,73.8,0,1,1,0,2015-07-03,2,2,0,36.9,31-90,0.0,Summer,4,1
Resort Hotel,1,63,2015,7,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,No Deposit,242,0,Transient,117.0,0,1,1,0,2015-07-03,7,2,0,58.5,31-90,0.0,Summer,4,1
Resort Hotel,0,63,2015,7,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,105,0,Transient,196.54,0,1,1,0,2015-07-03,7,3,0,65.5133,31-90,0.0,Summer,4,0
Resort Hotel,0,101,2015,7,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,99.3,1,2,1,0,2015-07-03,7,3,1,33.1,91-180,0.0,Summer,4,1
Resort Hotel,0,102,2015,7,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,0,No Deposit,250,0,Transient,90.95,0,0,1,0,2015-07-03,7,2,0,45.475,91-180,0.0,Summer,4,0
Resort Hotel,0,4,2015,7,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,0,No Deposit,250,0,Transient,92.67,0,1,1,0,2015-07-04,3,2,0,46.335,0-7,0.0,Summer,5,0
Resort Hotel,0,98,2015,7,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,8,0,Transient,71.55,1,0,1,0,2015-07-04,3,2,0,35.775,91-180,0.0,Summer,5,0
Resort Hotel,0,92,2015,7,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,0,No Deposit,241,0,Transient,96.49,0,2,1,0,2015-07-04,6,3,1,32.1633,91-180,0.0,Summer,5,0
Resort Hotel,0,95,2015,7,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,85.8,1,2,1,0,2015-07-04,6,2,0,42.9,91-180,0.0,Summer,5,1
Resort Hotel,0,102,2015,7,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,96.3,0,1,1,0,2015-07-04,7,2,0,48.15,91-180,0.0,Summer,5,1
Resort Hotel,1,26,2015,7,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,0,No Deposit,240,0,Transient,163.0,0,0,1,0,2015-07-04,7,4,1,40.75,8-30,0.0,Summer,5,1
Resort Hotel,1,73,2015,7,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,0,No Deposit,250,0,Transient,172.0,0,1,1,0,2015-07-04,7,3,0,57.3333,31-90,0.0,Summer,5,1
Resort Hotel,1,102,2015,7,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,110.7,0,1,1,0,2015-07-04,7,2,0,55.35,91-180,0.0,Summer,5,1
Resort Hotel,0,115,2015,7,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,134,0,Transient,58.95,0,1,1,0,2015-07-04,7,2,0,29.475,91-180,0.0,Summer,5,1
Resort Hotel,0,102,2015,7,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,240,0,Transient,73.8,0,2,1,0,2015-07-04,7,3,1,24.6,91-180,0.0,Summer,5,1
Resort Hotel,0,86,2015,7,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,0,No Deposit,240,0,Transient,97.0,0,2,1,0,2015-07-04,7,2,0,48.5,31-90,0.0,Summer,5,0
Resort Hotel,0,78,2015,7,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,0,No Deposit,240,0,Transient,139.0,0,2,1,0,2015-07-04,7,3,1,46.3333,31-90,0.0,Summer,5,1
Resort Hotel,0,52,2015,7,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,147,0,Transient,67.24,0,0,1,0,2015-07-04,7,2,0,33.62,31-90,0.0,Summer,5,0
