is_canceled,deposit_type,agent,lead_time,country,is_domestic,total_of_special_requests,market_segment,adr,lead_time_group,adr_per_person,required_car_parking_spaces,cancel_history_ratio,booking_changes,total_nights,customer_type,arrival_date_week_number,previous_cancellations,arrival_date_day_of_month
0,No Deposit,240,104,PRT,1,0,Online TA,117.63,91-180,58.815,0,0.0,1,6,Transient,28,0,6
0,No Deposit,240,68,PRT,1,0,Online TA,185.0,31-90,46.25,0,0.0,0,7,Transient,28,0,6
1,No Deposit,175,86,PRT,1,1,Offline TA/TO,71.0,31-90,71.0,0,0.0,0,7,Transient,28,0,6
0,No Deposit,2,258,GBR,0,0,Offline TA/TO,47.25,181-365,23.625,0,0.0,0,7,Contract,28,0,6
0,No Deposit,240,111,PRT,1,1,Online TA,151.0,91-180,75.5,0,0.0,0,8,Transient,28,0,6
1,No Deposit,240,94,PRT,1,0,Online TA,87.3,91-180,43.65,0,0.0,0,10,Transient,28,0,6
0,No Deposit,242,112,GBR,0,1,Offline TA/TO,120.6,91-180,60.3,0,0.0,0,10,Transient,28,0,6
0,No Deposit,241,100,GBR,0,1,Offline TA/TO,63.86,91-180,31.93,0,0.0,1,10,Transient,28,0,6
0,No Deposit,250,33,PRT,1,1,Direct,157.1,31-90,78.55,0,0.0,5,10,Transient,28,0,6
0,No Deposit,156,97,GBR,0,2,Offline TA/TO,91.37,91-180,45.685,0,0.0,0,10,Contract,28,0,6
0,No Deposit,NoAgent,80,FRA,0,0,Direct,73.0,31-90,73.0,0,0.0,1,11,Transient,28,0,6
0,No Deposit,8,90,ITA,0,0,Offline TA/TO,110.7,31-90,55.35,0,0.0,0,14,Contract,28,0,6
0,No Deposit,40,111,GBR,0,0,Offline TA/TO,93.6,91-180,46.8,0,0.0,0,14,Contract,28,0,6
0,No Deposit,127,65,PRT,1,0,Offline TA/TO,83.5,31-90,41.75,0,0.0,0,7,Transient,28,0,6
1,No Deposit,240,67,PRT,1,1,Online TA,73.8,31-90,36.9,0,0.0,0,2,Transient,28,0,7
0,No Deposit,240,55,ESP,0,2,Online TA,82.0,31-90,41.0,1,0.0,0,3,Transient,28,0,7
0,No Deposit,250,21,PRT,1,1,Direct,185.5,8-30,61.8333,0,0.0,0,3,Transient,28,0,7
0,No Deposit,NoAgent,8,PRT,1,1,Direct,0.0,8-30,0.0,0,0.0,0,0,Transient,28,0,7
0,No Deposit,240,8,PRT,1,1,Online TA,0.0,8-30,0.0,0,0.0,0,0,Transient,28,0,7
0,No Deposit,240,0,GBR,0,3,Online TA,109.8,0-7,109.8,0,0.0,0,1,Transient,28,0,7
0,No Deposit,NoAgent,0,PRT,1,0,Direct,195.0,0-7,65.0,1,0.0,0,1,Transient,28,0,7
0,No Deposit,240,0,GBR,0,3,Online TA,109.8,0-7,109.8,0,0.0,0,1,Transient,28,0,7
0,No Deposit,240,8,ESP,0,1,Online TA,193.0,8-30,38.6,0,0.0,2,4,Transient,28,0,7
0,No Deposit,240,66,PRT,1,2,Online TA,97.0,31-90,48.5,0,0.0,0,4,Transient,28,0,7
0,No Deposit,95,88,USA,0,1,Offline TA/TO,150.0,31-90,50.0,0,0.0,0,4,Transient,28,0,7
0,No Deposit,NoAgent,0,NLD,0,0,Direct,98.0,0-7,49.0,0,0.0,2,4,Transient,28,0,7
1,No Deposit,134,43,PRT,1,0,Offline TA/TO,91.5,31-90,45.75,0,0.0,0,5,Transient,28,0,7
1,No Deposit,240,88,PRT,1,2,Online TA,139.0,31-90,69.5,0,0.0,0,7,Transient,28,0,7
0,No Deposit,8,54,IRL,0,0,Offline TA/TO,79.5,31-90,39.75,0,0.0,0,7,Transient,28,0,7
1,No Deposit,2,292,PRT,1,0,Offline TA/TO,47.25,181-365,23.625,0,0.0,0,7,Contract,28,0,7
0,No Deposit,156,112,IRL,0,1,Offline TA/TO,126.65,91-180,63.325,0,0.0,0,14,Contract,28,0,7
0,No Deposit,240,68,GBR,0,1,Online TA,107.0,31-90,53.5,0,0.0,0,3,Transient,28,0,8
0,No Deposit,240,7,PRT,1,2,Online TA,131.0,0-7,65.5,1,0.0,0,4,Transient,28,0,8
0,No Deposit,240,1,ESP,0,1,Online TA,131.0,0-7,65.5,1,0.0,0,4,Transient,28,0,8
1,No Deposit,240,113,PRT,1,1,Online TA,123.0,91-180,61.5,0,0.0,0,4,Transient,28,0,8
0,No Deposit,240,5,ESP,0,1,Online TA,146.0,0-7,73.0,0,0.0,0,4,Transient,28,0,8
0,No Deposit,105,83,PRT,1,1,Offline TA/TO,110.7,31-90,55.35,0,0.0,0,4,Transient,28,0,8
1,No Deposit,240,105,PRT,1,1,Online TA,73.8,91-180,36.9,0,0.0,0,4,Transient,28,0,8
0,No Deposit,146,0,PRT,1,0,Offline TA/TO,61.0,0-7,61.0,0,0.0,0,1,Transient,28,0,8
1,No Deposit,NoAgent,1,PRT,1,1,Corporate,104.72,0-7,52.36,0,0.0,0,1,Transient,28,0,8
1,No Deposit,NoAgent,1,PRT,1,1,Corporate,104.72,0-7,52.36,0,0.0,0,1,Transient,28,0,8
0,No Deposit,NoAgent,1,CHE,0,1,Corporate,104.72,0-7,52.36,1,0.0,0,2,Transient,28,0,8
1,No Deposit,9,102,PRT,1,1,Direct,66.42,91-180,33.21,0,0.0,0,5,Transient,28,0,8
0,No Deposit,250,113,PRT,1,1,Direct,77.96,91-180,38.98,1,0.0,1,6,Transient,28,0,8
1,No Deposit,40,280,PRT,1,1,Offline TA/TO,112.0,181-365,37.3333,0,0.0,0,7,Contract,28,0,8
0,No Deposit,240,96,GBR,0,1,Online TA,107.0,91-180,53.5,0,0.0,0,7,Transient,28,0,8
0,No Deposit,40,394,GBR,0,0,Offline TA/TO,89.68,365+,44.84,0,0.0,0,7,Contract,28,0,8
0,No Deposit,240,33,PRT,1,0,Online TA,155.0,31-90,77.5,0,0.0,0,7,Transient,28,0,8
0,No Deposit,250,82,IRL,0,1,Direct,112.0,31-90,37.3333,0,0.0,0,8,Transient,28,0,8
0,No Deposit,240,100,DNK,0,3,Online TA,130.1,91-180,43.3667,0,0.0,1,9,Transient-Party,28,0,8
0,No Deposit,240,100,DNK,0,2,Online TA,100.1,91-180,50.05,0,0.0,0,9,Transient-Party,28,0,8
0,No Deposit,242,17,PRT,1,3,Online TA,123.0,8-30,30.75,0,0.0,0,1,Transient,28,0,9
0,No Deposit,250,68,ARG,0,1,Direct,124.0,31-90,41.3333,1,0.0,0,2,Transient,28,0,9
0,No Deposit,NoAgent,12,PRT,1,0,Direct,146.0,8-30,36.5,1,0.0,2,2,Transient,28,0,9
1,No Deposit,250,77,PRT,1,0,Direct,97.0,31-90,48.5,0,0.0,0,3,Transient,28,0,9
1,No Deposit,242,24,PRT,1,1,Online TA,123.0,8-30,30.75,0,0.0,0,3,Transient,28,0,9
